send_time,recv_time,delay
1.11121,1.11234,0.00113241
1.11638,1.1165,0.00011608
1.12458,1.12469,0.00011608
1.13277,1.13288,0.00011608
1.14096,1.14108,0.00011608
1.14915,1.14927,0.00011608
1.15734,1.15746,0.00011608
1.16554,1.16565,0.00011608
1.17373,1.17384,0.00011608
1.18192,1.18204,0.00011608
1.19011,1.19023,0.00011608
1.1983,1.19842,0.00011608
1.2065,1.20661,0.00011608
1.21469,1.2148,0.00011608
1.22288,1.223,0.00011608
1.23107,1.23119,0.00011608
1.23926,1.23938,0.00011608
1.24746,1.24757,0.00011608
1.25565,1.25576,0.00011608
1.26384,1.26396,0.00011608
1.27203,1.27215,0.00011608
1.28022,1.28034,0.00011608
1.28842,1.28853,0.00011608
1.29661,1.29672,0.00011608
1.3048,1.30492,0.00011608
1.31299,1.31311,0.00011608
1.32118,1.3213,0.00011608
1.32938,1.32949,0.00011608
1.33757,1.33768,0.00011608
1.34576,1.34588,0.00011608
1.35395,1.35407,0.00011608
1.36214,1.36226,0.00011608
1.37034,1.37045,0.00011608
1.37853,1.37864,0.00011608
1.38672,1.38684,0.00011608
1.39491,1.39503,0.00011608
1.4031,1.40322,0.00011608
1.4113,1.41141,0.00011608
1.41949,1.4196,0.00011608
1.42768,1.4278,0.00011608
1.43587,1.43599,0.00011608
1.44406,1.44418,0.00011608
1.45226,1.45237,0.00011608
1.46045,1.46056,0.00011608
1.46864,1.46876,0.00011608
1.47683,1.47695,0.00011608
1.48502,1.48514,0.00011608
1.49322,1.49333,0.00011608
1.50141,1.50152,0.00011608
1.5096,1.50972,0.00011608
1.51779,1.51791,0.00011608
1.52598,1.5261,0.00011608
1.53418,1.53429,0.00011608
1.54237,1.54248,0.00011608
1.55056,1.55068,0.00011608
1.55875,1.55887,0.00011608
1.56694,1.56706,0.00011608
1.57514,1.57525,0.00011608
1.58333,1.58344,0.00011608
1.59152,1.59164,0.00011608
1.59971,1.59983,0.00011608
1.6079,1.60802,0.00011608
1.6161,1.61621,0.00011608
1.62429,1.6244,0.00011608
1.63248,1.6326,0.00011608
1.64067,1.64079,0.00011608
1.64886,1.64898,0.00011608
1.65706,1.65717,0.00011608
1.66525,1.66536,0.00011608
1.67344,1.67356,0.00011608
1.68163,1.68175,0.00011608
1.68982,1.68994,0.00011608
1.69802,1.69813,0.00011608
1.70621,1.70632,0.00011608
1.7144,1.71452,0.00011608
1.72259,1.72271,0.00011608
1.73078,1.7309,0.00011608
1.73898,1.73909,0.00011608
1.74717,1.74728,0.00011608
1.75536,1.75548,0.00011608
1.76355,1.76367,0.00011608
1.77174,1.77186,0.00011608
1.77994,1.78005,0.00011608
1.78813,1.78824,0.00011608
1.79632,1.79644,0.00011608
1.80451,1.80463,0.00011608
1.8127,1.81282,0.00011608
1.8209,1.82101,0.00011608
1.82909,1.8292,0.00011608
1.83728,1.8374,0.00011608
1.84547,1.84559,0.00011608
1.85366,1.85378,0.00011608
1.86186,1.86197,0.00011608
1.87005,1.87016,0.00011608
1.87824,1.87836,0.00011608
1.88643,1.88655,0.00011608
1.89462,1.89474,0.00011608
1.90282,1.90293,0.00011608
1.91101,1.91112,0.00011608
1.9192,1.91932,0.00011608
1.92739,1.92751,0.00011608
1.93558,1.9357,0.00011608
1.94378,1.94389,0.00011608
1.95197,1.95208,0.00011608
1.96016,1.96028,0.00011608
1.96835,1.96847,0.00011608
1.97654,1.97666,0.00011608
1.98474,1.98485,0.00011608
1.99293,1.99304,0.00011608
2.00112,2.00124,0.00011608
2.00931,2.00943,0.00011608
2.0175,2.01762,0.00011608
2.0257,2.02581,0.00011608
2.03389,2.034,0.00011608
2.04208,2.0422,0.00011608
2.05027,2.05039,0.00011608
2.05846,2.05858,0.00011608
2.06666,2.06677,0.00011608
2.07485,2.07496,0.00011608
2.08304,2.08316,0.00011608
2.09123,2.09135,0.00011608
2.09942,2.09954,0.00011608
2.10762,2.10773,0.00011608
