send_time,recv_time,packet_size
1.122212272,1.129445848,1200
1.1384,1.138619304,1200
1.1576,1.157819304,1200
1.1768,1.177019304,1200
1.196,1.196219304,1200
1.2152,1.215419304,1200
1.2344,1.234619304,1200
1.2536,1.253819304,1200
1.2728,1.273019304,1200
1.292,1.292219304,1200
1.3112,1.311419304,1200
1.3304,1.330619304,1200
1.3496,1.349819304,1200
1.3688,1.369019304,1200
1.388,1.388219304,1200
1.4072,1.407419304,1200
1.4264,1.426619304,1200
1.4456,1.445819304,1200
1.4648,1.465019304,1200
1.484,1.484219304,1200
1.5032,1.503419304,1200
1.5224,1.522619304,1200
1.5416,1.541819304,1200
1.5608,1.561019304,1200
1.58,1.580219304,1200
1.5992,1.599419304,1200
1.6184,1.618619304,1200
1.6376,1.637819304,1200
1.6568,1.657019304,1200
1.676,1.676219304,1200
1.6952,1.695419304,1200
1.7144,1.714619304,1200
1.7336,1.733819304,1200
1.7528,1.753019304,1200
1.772,1.772219304,1200
1.7912,1.791419304,1200
1.8104,1.810619304,1200
1.8296,1.829819304,1200
1.8488,1.849019304,1200
1.868,1.868219304,1200
1.8872,1.887419304,1200
1.9064,1.906619304,1200
1.9256,1.925819304,1200
1.9448,1.945019304,1200
1.964,1.964219304,1200
1.9832,1.983419304,1200
2.0024,2.002619304,1200
2.0216,2.021819304,1200
2.0408,2.041019304,1200
2.06,2.060219304,1200
2.0792,2.079419304,1200
2.0984,2.098619304,1200
2.1176,2.117819304,1200
2.1368,2.137019304,1200
2.156,2.156219304,1200
2.1752,2.175419304,1200
2.1944,2.194619304,1200
2.2136,2.213819304,1200
2.2328,2.233019304,1200
2.252,2.252219304,1200
2.2712,2.271419304,1200
2.2904,2.290619304,1200
2.3096,2.309819304,1200
2.3288,2.329019304,1200
2.348,2.348219304,1200
2.3672,2.367419304,1200
2.3864,2.386619304,1200
2.4056,2.405819304,1200
2.4248,2.425019304,1200
2.444,2.444219304,1200
2.4632,2.463419304,1200
2.4824,2.482619304,1200
2.5016,2.501819304,1200
2.5208,2.521019304,1200
2.54,2.540219304,1200
2.5592,2.559419304,1200
2.5784,2.578619304,1200
2.5976,2.597819304,1200
2.6168,2.617019304,1200
2.636,2.636219304,1200
2.6552,2.655419304,1200
2.6744,2.674619304,1200
2.6936,2.693819304,1200
2.7128,2.713019304,1200
2.732,2.732219304,1200
2.7512,2.751419304,1200
2.7704,2.770619304,1200
2.7896,2.789819304,1200
2.8088,2.809019304,1200
2.828,2.828219304,1200
2.8472,2.847419304,1200
2.8664,2.866619304,1200
2.8856,2.885819304,1200
2.9048,2.905019304,1200
2.924,2.924219304,1200
2.9432,2.943419304,1200
2.9624,2.962619304,1200
2.9816,2.981819304,1200
3.0008,3.001019304,1200
3.02,3.020219304,1200
3.0392,3.039419304,1200
3.0584,3.058619304,1200
3.0776,3.077819304,1200
3.0968,3.097019304,1200
3.116,3.116219304,1200
3.1352,3.135419304,1200
3.1544,3.154619304,1200
3.1736,3.173819304,1200
3.1928,3.193019304,1200
3.212,3.212219304,1200
3.2312,3.231419304,1200
3.2504,3.250619304,1200
3.2696,3.269819304,1200
3.2888,3.289019304,1200
3.308,3.308219304,1200
3.3272,3.327419304,1200
3.3464,3.346619304,1200
3.3656,3.365819304,1200
3.3848,3.385019304,1200
3.404,3.404219304,1200
3.4232,3.423419304,1200
3.4424,3.442619304,1200
3.4616,3.461819304,1200
3.4808,3.481019304,1200
3.5,3.500219304,1200
3.5192,3.519419304,1200
3.5384,3.538619304,1200
3.5576,3.557819304,1200
3.5768,3.577019304,1200
3.596,3.596219304,1200
3.6152,3.615419304,1200
3.6344,3.634619304,1200
3.6536,3.653819304,1200
3.6728,3.673019304,1200
3.692,3.692219304,1200
3.7112,3.711419304,1200
3.7304,3.730619304,1200
3.7496,3.749819304,1200
3.7688,3.769019304,1200
3.788,3.788219304,1200
3.8072,3.807419304,1200
3.8264,3.826619304,1200
3.8456,3.845819304,1200
3.8648,3.865019304,1200
3.884,3.884219304,1200
3.9032,3.903419304,1200
3.9224,3.922619304,1200
3.9416,3.941819304,1200
3.9608,3.961019304,1200
3.98,3.980219304,1200
3.9992,3.999419304,1200
4.0184,4.018619304,1200
4.0376,4.037819304,1200
4.0568,4.057019304,1200
4.076,4.076219304,1200
4.0952,4.095419304,1200
4.1144,4.114619304,1200
4.1336,4.133819304,1200
4.1528,4.153019304,1200
4.172,4.172219304,1200
4.1912,4.191419304,1200
4.2104,4.210619304,1200
4.2296,4.229819304,1200
4.2488,4.249019304,1200
4.268,4.268219304,1200
4.2872,4.287419304,1200
4.3064,4.306619304,1200
4.3256,4.325819304,1200
4.3448,4.345019304,1200
4.364,4.364219304,1200
4.3832,4.383419304,1200
4.4024,4.402619304,1200
4.4216,4.421819304,1200
4.4408,4.441019304,1200
4.46,4.460219304,1200
4.4792,4.479419304,1200
4.4984,4.498619304,1200
4.5176,4.517819304,1200
4.5368,4.537019304,1200
4.556,4.556219304,1200
4.5752,4.575419304,1200
4.5944,4.594619304,1200
4.6136,4.613819304,1200
4.6328,4.633019304,1200
4.652,4.652219304,1200
4.6712,4.671419304,1200
4.6904,4.690619304,1200
4.7096,4.709819304,1200
4.7288,4.729019304,1200
4.748,4.748219304,1200
4.7672,4.767419304,1200
4.7864,4.786619304,1200
4.8056,4.805819304,1200
4.8248,4.825019304,1200
4.844,4.844219304,1200
4.8632,4.863419304,1200
4.8824,4.882619304,1200
4.9016,4.901819304,1200
4.9208,4.921019304,1200
4.94,4.940219304,1200
4.9592,4.959419304,1200
4.9784,4.978619304,1200
4.9976,4.997819304,1200
5.0168,5.017019304,1200
5.036,5.036219304,1200
5.0552,5.055419304,1200
5.0744,5.074619304,1200
5.0936,5.093819304,1200
5.1128,5.113019304,1200
5.132,5.132219304,1200
5.1512,5.151419304,1200
5.1704,5.170619304,1200
5.1896,5.189819304,1200
5.2088,5.209019304,1200
5.228,5.228219304,1200
5.2472,5.247419304,1200
5.2664,5.266619304,1200
5.2856,5.285819304,1200
5.3048,5.305019304,1200
5.324,5.324219304,1200
