send_time,recv_time,packet_size
1.103830488,1.104901168,50
1.103830488,1.104909808,50
1.103830488,1.104918448,50
1.1056,1.105638192,50
1.1064,1.106438192,50
1.1072,1.107238192,50
1.108,1.108038192,50
1.1088,1.108838192,50
1.1096,1.109638192,50
1.1104,1.110438192,50
1.1112,1.111238192,50
1.112,1.112038192,50
1.1128,1.112838192,50
1.1136,1.113638192,50
1.1144,1.114438192,50
1.1152,1.115238192,50
1.116,1.116038192,50
1.1168,1.116838192,50
1.1176,1.117638192,50
1.1184,1.118438192,50
1.1192,1.119238192,50
1.12,1.120038192,50
1.1208,1.120838192,50
1.1216,1.121638192,50
1.1224,1.122438192,50
1.1232,1.123238192,50
1.124,1.124038192,50
1.1248,1.124838192,50
1.1256,1.125638192,50
1.1264,1.126438192,50
1.1272,1.127238192,50
1.128,1.128038192,50
1.1288,1.128838192,50
1.1296,1.129638192,50
1.1304,1.130438192,50
1.1312,1.131238192,50
1.132,1.132038192,50
1.1328,1.132838192,50
1.1336,1.133638192,50
1.1344,1.134438192,50
1.1352,1.135238192,50
1.136,1.136038192,50
1.1368,1.136838192,50
1.1376,1.137638192,50
1.1384,1.138438192,50
1.1392,1.139238192,50
1.14,1.140038192,50
1.1408,1.140838192,50
1.1416,1.141638192,50
1.1424,1.142438192,50
1.1432,1.143238192,50
1.144,1.144038192,50
1.1448,1.144838192,50
1.1456,1.145638192,50
1.1464,1.146438192,50
1.1472,1.147238192,50
1.148,1.148038192,50
1.1488,1.148838192,50
1.1496,1.149638192,50
1.1504,1.150438192,50
1.1512,1.151238192,50
1.152,1.152038192,50
1.1528,1.152838192,50
1.1536,1.153638192,50
1.1544,1.154438192,50
1.1552,1.155238192,50
1.156,1.156038192,50
1.1568,1.156838192,50
1.1576,1.157638192,50
1.1584,1.158438192,50
1.1592,1.159238192,50
1.16,1.160038192,50
1.1608,1.160838192,50
1.1616,1.161638192,50
1.1624,1.162438192,50
1.1632,1.163238192,50
1.164,1.164038192,50
1.1648,1.164838192,50
1.1656,1.165638192,50
1.1664,1.166438192,50
1.1672,1.167238192,50
1.168,1.168038192,50
1.1688,1.168838192,50
1.1696,1.169638192,50
1.1704,1.170438192,50
1.1712,1.171238192,50
1.172,1.172038192,50
1.1728,1.172838192,50
1.1736,1.173638192,50
1.1744,1.174438192,50
1.1752,1.175238192,50
1.176,1.176038192,50
1.1768,1.176838192,50
1.1776,1.177638192,50
1.1784,1.178438192,50
1.1792,1.179238192,50
1.18,1.180038192,50
1.1808,1.180838192,50
1.1816,1.181638192,50
1.1824,1.182438192,50
1.1832,1.183238192,50
1.184,1.184038192,50
1.1848,1.184838192,50
1.1856,1.185638192,50
1.1864,1.186438192,50
1.1872,1.187238192,50
1.188,1.188038192,50
1.1888,1.188838192,50
1.1896,1.189638192,50
1.1904,1.190438192,50
1.1912,1.191238192,50
1.192,1.192038192,50
1.1928,1.192838192,50
1.1936,1.193638192,50
1.1944,1.194438192,50
1.1952,1.195238192,50
1.196,1.196038192,50
1.1968,1.196838192,50
1.1976,1.197638192,50
1.1984,1.198438192,50
1.1992,1.199238192,50
1.2,1.200038192,50
1.2008,1.200838192,50
1.2016,1.201638192,50
1.2024,1.202438192,50
1.2032,1.203238192,50
1.204,1.204038192,50
1.2048,1.204838192,50
1.2056,1.205638192,50
1.2064,1.206438192,50
1.2072,1.207238192,50
1.208,1.208038192,50
1.2088,1.208838192,50
1.2096,1.209638192,50
1.2104,1.210438192,50
1.2112,1.211238192,50
1.212,1.212038192,50
1.2128,1.212838192,50
1.2136,1.213638192,50
1.2144,1.214438192,50
1.2152,1.215238192,50
1.216,1.216038192,50
1.2168,1.216838192,50
1.2176,1.217638192,50
1.2184,1.218438192,50
1.2192,1.219238192,50
1.22,1.220038192,50
1.2208,1.220838192,50
1.2216,1.221638192,50
1.2224,1.222438192,50
1.2232,1.223238192,50
1.224,1.224038192,50
1.2248,1.224838192,50
1.2256,1.225638192,50
1.2264,1.226438192,50
1.2272,1.227238192,50
1.228,1.228038192,50
1.2288,1.228838192,50
1.2296,1.229638192,50
1.2304,1.230438192,50
1.2312,1.231238192,50
1.232,1.232038192,50
1.2328,1.232838192,50
1.2336,1.233638192,50
1.2344,1.234438192,50
1.2352,1.235238192,50
1.236,1.236038192,50
1.2368,1.236838192,50
1.2376,1.237638192,50
1.2384,1.238438192,50
1.2392,1.239238192,50
1.24,1.240038192,50
1.2408,1.240838192,50
1.2416,1.241638192,50
1.2424,1.242438192,50
1.2432,1.243238192,50
1.244,1.244038192,50
1.2448,1.244838192,50
1.2456,1.245638192,50
1.2464,1.246438192,50
1.2472,1.247238192,50
1.248,1.248038192,50
1.2488,1.248838192,50
1.2496,1.249638192,50
1.2504,1.250438192,50
1.2512,1.251238192,50
1.252,1.252038192,50
1.2528,1.252838192,50
1.2536,1.253638192,50
1.2544,1.254438192,50
1.2552,1.255238192,50
1.256,1.256038192,50
1.2568,1.256838192,50
1.2576,1.257638192,50
1.2584,1.258438192,50
1.2592,1.259238192,50
1.26,1.260038192,50
1.2608,1.260838192,50
1.2616,1.261638192,50
1.2624,1.262438192,50
1.2632,1.263238192,50
1.264,1.264038192,50
1.2648,1.264838192,50
1.2656,1.265638192,50
1.2664,1.266438192,50
1.2672,1.267238192,50
1.268,1.268038192,50
1.2688,1.268838192,50
1.2696,1.269638192,50
1.2704,1.270438192,50
1.2712,1.271238192,50
1.272,1.272038192,50
1.2728,1.272838192,50
1.2736,1.273638192,50
1.2744,1.274438192,50
1.2752,1.275238192,50
1.276,1.276038192,50
1.2768,1.276838192,50
1.2776,1.277638192,50
1.2784,1.278438192,50
1.2792,1.279238192,50
1.28,1.280038192,50
1.2808,1.280838192,50
1.2816,1.281638192,50
1.2824,1.282438192,50
1.2832,1.283238192,50
1.284,1.284038192,50
1.2848,1.284838192,50
1.2856,1.285638192,50
1.2864,1.286438192,50
1.2872,1.287238192,50
1.288,1.288038192,50
1.2888,1.288838192,50
1.2896,1.289638192,50
1.2904,1.290438192,50
1.2912,1.291238192,50
1.292,1.292038192,50
1.2928,1.292838192,50
1.2936,1.293638192,50
1.2944,1.294438192,50
1.2952,1.295238192,50
1.296,1.296038192,50
1.2968,1.296838192,50
1.2976,1.297638192,50
1.2984,1.298438192,50
1.2992,1.299238192,50
1.3,1.300038192,50
1.3008,1.300838192,50
1.3016,1.301638192,50
1.3024,1.302438192,50
1.3032,1.303238192,50
1.304,1.304038192,50
1.3048,1.304838192,50
1.3056,1.305638192,50
1.3064,1.306438192,50
1.3072,1.307238192,50
1.308,1.308038192,50
1.3088,1.308838192,50
1.3096,1.309638192,50
1.3104,1.310438192,50
1.3112,1.311238192,50
1.312,1.312038192,50
1.3128,1.312838192,50
1.3136,1.313638192,50
1.3144,1.314438192,50
1.3152,1.315238192,50
1.316,1.316038192,50
1.3168,1.316838192,50
1.3176,1.317638192,50
1.3184,1.318438192,50
1.3192,1.319238192,50
1.32,1.320038192,50
1.3208,1.320838192,50
1.3216,1.321638192,50
1.3224,1.322438192,50
1.3232,1.323238192,50
1.324,1.324038192,50
1.3248,1.324838192,50
1.3256,1.325638192,50
1.3264,1.326438192,50
1.3272,1.327238192,50
1.328,1.328038192,50
1.3288,1.328838192,50
1.3296,1.329638192,50
1.3304,1.330438192,50
1.3312,1.331238192,50
1.332,1.332038192,50
1.3328,1.332838192,50
1.3336,1.333638192,50
1.3344,1.334438192,50
1.3352,1.335238192,50
1.336,1.336038192,50
1.3368,1.336838192,50
1.3376,1.337638192,50
1.3384,1.338438192,50
1.3392,1.339238192,50
1.34,1.340038192,50
1.3408,1.340838192,50
1.3416,1.341638192,50
1.3424,1.342438192,50
1.3432,1.343238192,50
1.344,1.344038192,50
1.3448,1.344838192,50
1.3456,1.345638192,50
1.3464,1.346438192,50
1.3472,1.347238192,50
1.348,1.348038192,50
1.3488,1.348838192,50
1.3496,1.349638192,50
1.3504,1.350438192,50
1.3512,1.351238192,50
1.352,1.352038192,50
1.3528,1.352838192,50
1.3536,1.353638192,50
1.3544,1.354438192,50
1.3552,1.355238192,50
1.356,1.356038192,50
1.3568,1.356838192,50
1.3576,1.357638192,50
1.3584,1.358438192,50
1.3592,1.359238192,50
1.36,1.360038192,50
1.3608,1.360838192,50
1.3616,1.361638192,50
1.3624,1.362438192,50
1.3632,1.363238192,50
1.364,1.364038192,50
1.3648,1.364838192,50
1.3656,1.365638192,50
1.3664,1.366438192,50
1.3672,1.367238192,50
1.368,1.368038192,50
1.3688,1.368838192,50
1.3696,1.369638192,50
1.3704,1.370438192,50
1.3712,1.371238192,50
1.372,1.372038192,50
1.3728,1.372838192,50
1.3736,1.373638192,50
1.3744,1.374438192,50
1.3752,1.375238192,50
1.376,1.376038192,50
1.3768,1.376838192,50
1.3776,1.377638192,50
1.3784,1.378438192,50
1.3792,1.379238192,50
1.38,1.380038192,50
1.3808,1.380838192,50
1.3816,1.381638192,50
1.3824,1.382438192,50
1.3832,1.383238192,50
1.384,1.384038192,50
1.3848,1.384838192,50
1.3856,1.385638192,50
1.3864,1.386438192,50
1.3872,1.387238192,50
1.388,1.388038192,50
1.3888,1.388838192,50
1.3896,1.389638192,50
1.3904,1.390438192,50
1.3912,1.391238192,50
1.392,1.392038192,50
1.3928,1.392838192,50
1.3936,1.393638192,50
1.3944,1.394438192,50
1.3952,1.395238192,50
1.396,1.396038192,50
1.3968,1.396838192,50
1.3976,1.397638192,50
1.3984,1.398438192,50
1.3992,1.399238192,50
1.4,1.400038192,50
1.4008,1.400838192,50
1.4016,1.401638192,50
1.4024,1.402438192,50
1.4032,1.403238192,50
1.404,1.404038192,50
1.4048,1.404838192,50
1.4056,1.405638192,50
1.4064,1.406438192,50
1.4072,1.407238192,50
1.408,1.408038192,50
1.4088,1.408838192,50
1.4096,1.409638192,50
1.4104,1.410438192,50
1.4112,1.411238192,50
1.412,1.412038192,50
1.4128,1.412838192,50
1.4136,1.413638192,50
1.4144,1.414438192,50
1.4152,1.415238192,50
1.416,1.416038192,50
1.4168,1.416838192,50
1.4176,1.417638192,50
1.4184,1.418438192,50
1.4192,1.419238192,50
1.42,1.420038192,50
1.4208,1.420838192,50
1.4216,1.421638192,50
1.4224,1.422438192,50
1.4232,1.423238192,50
1.424,1.424038192,50
1.4248,1.424838192,50
1.4256,1.425638192,50
1.4264,1.426438192,50
1.4272,1.427238192,50
1.428,1.428038192,50
1.4288,1.428838192,50
1.4296,1.429638192,50
1.4304,1.430438192,50
1.4312,1.431238192,50
1.432,1.432038192,50
1.4328,1.432838192,50
1.4336,1.433638192,50
1.4344,1.434438192,50
1.4352,1.435238192,50
1.436,1.436038192,50
1.4368,1.436838192,50
1.4376,1.437638192,50
1.4384,1.438438192,50
1.4392,1.439238192,50
1.44,1.440038192,50
1.4408,1.440838192,50
1.4416,1.441638192,50
1.4424,1.442438192,50
1.4432,1.443238192,50
1.444,1.444038192,50
1.4448,1.444838192,50
1.4456,1.445638192,50
1.4464,1.446438192,50
1.4472,1.447238192,50
1.448,1.448038192,50
1.4488,1.448838192,50
1.4496,1.449638192,50
1.4504,1.450438192,50
1.4512,1.451238192,50
1.452,1.452038192,50
1.4528,1.452838192,50
1.4536,1.453638192,50
1.4544,1.454438192,50
1.4552,1.455238192,50
1.456,1.456038192,50
1.4568,1.456838192,50
