send_time,recv_time,packet_size
1.116,1.126210648,1000
1.132,1.132184104,1000
1.148,1.148184104,1000
1.164,1.164184104,1000
1.18,1.180184104,1000
1.196,1.196184104,1000
1.212,1.212184104,1000
1.228,1.228184104,1000
1.244,1.244184104,1000
1.26,1.260184104,1000
1.276,1.276184104,1000
1.292,1.292184104,1000
1.308,1.308184104,1000
1.324,1.324184104,1000
1.34,1.340184104,1000
1.356,1.356184104,1000
1.372,1.372184104,1000
1.388,1.388184104,1000
1.404,1.404184104,1000
1.42,1.420184104,1000
1.436,1.436184104,1000
1.452,1.452184104,1000
1.468,1.468184104,1000
1.484,1.484184104,1000
1.5,1.500184104,1000
1.516,1.516184104,1000
1.532,1.532184104,1000
1.548,1.548184104,1000
1.564,1.564184104,1000
1.58,1.580184104,1000
1.596,1.596184104,1000
1.612,1.612184104,1000
1.628,1.628184104,1000
1.644,1.644184104,1000
1.66,1.660184104,1000
1.676,1.676184104,1000
1.692,1.692184104,1000
1.708,1.708184104,1000
1.724,1.724184104,1000
1.74,1.740184104,1000
1.756,1.756184104,1000
1.772,1.772184104,1000
1.788,1.788184104,1000
1.804,1.804184104,1000
1.82,1.820184104,1000
1.836,1.836184104,1000
1.852,1.852184104,1000
1.868,1.868184104,1000
1.884,1.884184104,1000
1.9,1.900184104,1000
1.916,1.916184104,1000
1.932,1.932184104,1000
1.948,1.948184104,1000
1.964,1.964184104,1000
1.98,1.980184104,1000
1.996,1.996184104,1000
2.012,2.012184104,1000
2.028,2.028184104,1000
2.044,2.044184104,1000
2.06,2.060184104,1000
2.076,2.076184104,1000
2.092,2.092184104,1000
2.108,2.108184104,1000
2.124,2.124184104,1000
2.14,2.140184104,1000
2.156,2.156184104,1000
2.172,2.172184104,1000
2.188,2.188184104,1000
2.204,2.204184104,1000
2.22,2.220184104,1000
2.236,2.236184104,1000
2.252,2.252184104,1000
2.268,2.268184104,1000
2.284,2.284184104,1000
2.3,2.300184104,1000
2.316,2.316184104,1000
2.332,2.332184104,1000
2.348,2.348184104,1000
2.364,2.364184104,1000
2.38,2.380184104,1000
2.396,2.396184104,1000
2.412,2.412184104,1000
2.428,2.428184104,1000
2.444,2.444184104,1000
2.46,2.460184104,1000
2.476,2.476184104,1000
2.492,2.492184104,1000
2.508,2.508184104,1000
2.524,2.524184104,1000
2.54,2.540184104,1000
2.556,2.556184104,1000
2.572,2.572184104,1000
2.588,2.588184104,1000
2.604,2.604184104,1000
2.62,2.620184104,1000
2.636,2.636184104,1000
2.652,2.652184104,1000
2.668,2.668184104,1000
2.684,2.684184104,1000
2.7,2.700184104,1000
2.716,2.716184104,1000
2.732,2.732184104,1000
2.748,2.748184104,1000
2.764,2.764184104,1000
2.78,2.780184104,1000
2.796,2.796184104,1000
2.812,2.812184104,1000
2.828,2.828184104,1000
2.844,2.844184104,1000
2.86,2.860184104,1000
2.876,2.876184104,1000
2.892,2.892184104,1000
2.908,2.908184104,1000
2.924,2.924184104,1000
2.94,2.940184104,1000
2.956,2.956184104,1000
2.972,2.972184104,1000
2.988,2.988184104,1000
3.004,3.004184104,1000
3.02,3.020184104,1000
3.036,3.036184104,1000
3.052,3.052184104,1000
3.068,3.068184104,1000
3.084,3.084184104,1000
3.1,3.100184104,1000
3.116,3.116184104,1000
3.132,3.132184104,1000
3.148,3.148184104,1000
3.164,3.164184104,1000
3.18,3.180184104,1000
3.196,3.196184104,1000
3.212,3.212184104,1000
3.228,3.228184104,1000
3.244,3.244184104,1000
3.26,3.260184104,1000
3.276,3.276184104,1000
3.292,3.292184104,1000
3.308,3.308184104,1000
3.324,3.324184104,1000
3.34,3.340184104,1000
3.356,3.356184104,1000
3.372,3.372184104,1000
3.388,3.388184104,1000
3.404,3.404184104,1000
3.42,3.420184104,1000
3.436,3.436184104,1000
3.452,3.452184104,1000
3.468,3.468184104,1000
3.484,3.484184104,1000
3.5,3.500184104,1000
3.516,3.516184104,1000
3.532,3.532184104,1000
3.548,3.548184104,1000
3.564,3.564184104,1000
3.58,3.580184104,1000
3.596,3.596184104,1000
3.612,3.612184104,1000
3.628,3.628184104,1000
3.644,3.644184104,1000
3.66,3.660184104,1000
3.676,3.676184104,1000
3.692,3.692184104,1000
3.708,3.708184104,1000
3.724,3.724184104,1000
3.74,3.740184104,1000
3.756,3.756184104,1000
3.772,3.772184104,1000
3.788,3.788184104,1000
3.804,3.804184104,1000
3.82,3.820184104,1000
3.836,3.836184104,1000
3.852,3.852184104,1000
3.868,3.868184104,1000
3.884,3.884184104,1000
3.9,3.900184104,1000
3.916,3.916184104,1000
3.932,3.932184104,1000
3.948,3.948184104,1000
3.964,3.964184104,1000
3.98,3.980184104,1000
3.996,3.996184104,1000
4.012,4.012184104,1000
4.028,4.028184104,1000
4.044,4.044184104,1000
4.06,4.060184104,1000
4.076,4.076184104,1000
4.092,4.092184104,1000
4.108,4.108184104,1000
4.124,4.124184104,1000
4.14,4.140184104,1000
4.156,4.156184104,1000
4.172,4.172184104,1000
4.188,4.188184104,1000
4.204,4.204184104,1000
4.22,4.220184104,1000
4.236,4.236184104,1000
4.252,4.252184104,1000
4.268,4.268184104,1000
4.284,4.284184104,1000
4.3,4.300184104,1000
4.316,4.316184104,1000
4.332,4.332184104,1000
4.348,4.348184104,1000
4.364,4.364184104,1000
4.38,4.380184104,1000
4.396,4.396184104,1000
4.412,4.412184104,1000
4.428,4.428184104,1000
4.444,4.444184104,1000
4.46,4.460184104,1000
4.476,4.476184104,1000
4.492,4.492184104,1000
4.508,4.508184104,1000
4.524,4.524184104,1000
4.54,4.540184104,1000
4.556,4.556184104,1000
4.572,4.572184104,1000
4.588,4.588184104,1000
4.604,4.604184104,1000
4.62,4.620184104,1000
4.636,4.636184104,1000
4.652,4.652184104,1000
4.668,4.668184104,1000
4.684,4.684184104,1000
4.7,4.700184104,1000
4.716,4.716184104,1000
4.732,4.732184104,1000
4.748,4.748184104,1000
4.764,4.764184104,1000
4.78,4.780184104,1000
4.796,4.796184104,1000
4.812,4.812184104,1000
4.828,4.828184104,1000
4.844,4.844184104,1000
4.86,4.860184104,1000
4.876,4.876184104,1000
4.892,4.892184104,1000
4.908,4.908184104,1000
4.924,4.924184104,1000
4.94,4.940184104,1000
4.956,4.956184104,1000
4.972,4.972184104,1000
4.988,4.988184104,1000
5.004,5.004184104,1000
5.02,5.020184104,1000
5.036,5.036184104,1000
5.052,5.052184104,1000
5.068,5.068184104,1000
5.084,5.084184104,1000
