send_time,recv_time,packet_size
1.5032,1.503414992,700
1.5144,1.514614992,700
1.5256,1.525814992,700
1.5368,1.537014992,700
1.548,1.548214992,700
1.5592,1.559414992,700
1.5704,1.570614992,700
1.5816,1.581814992,700
1.5928,1.593014992,700
1.604,1.604214992,700
1.6152,1.615414992,700
1.6264,1.626614992,700
1.6376,1.637814992,700
1.6488,1.649014992,700
1.66,1.660214992,700
1.6712,1.671414992,700
1.6824,1.682614992,700
1.6936,1.693814992,700
1.7048,1.705014992,700
1.716,1.716214992,700
1.7272,1.727414992,700
1.7384,1.738614992,700
1.7496,1.749814992,700
1.7608,1.761014992,700
1.772,1.772214992,700
1.7832,1.783414992,700
1.7944,1.794614992,700
1.8056,1.805814992,700
1.8168,1.817014992,700
1.828,1.828214992,700
1.8392,1.839414992,700
1.8504,1.850614992,700
1.8616,1.861814992,700
1.8728,1.873014992,700
1.884,1.884214992,700
1.8952,1.895414992,700
1.9064,1.906614992,700
1.9176,1.917814992,700
1.9288,1.929014992,700
1.94,1.940214992,700
1.9512,1.951414992,700
1.9624,1.962614992,700
1.9736,1.973814992,700
1.9848,1.985014992,700
1.996,1.996214992,700
2.0072,2.007414992,700
2.0184,2.018614992,700
2.0296,2.029814992,700
2.0408,2.041014992,700
2.052,2.052214992,700
2.0632,2.063414992,700
2.0744,2.074614992,700
2.0856,2.085814992,700
2.0968,2.097014992,700
2.108,2.108214992,700
2.1192,2.119414992,700
2.1304,2.130614992,700
2.1416,2.141814992,700
2.1528,2.153014992,700
2.164,2.164214992,700
2.1752,2.175414992,700
2.1864,2.186614992,700
2.1976,2.197814992,700
2.2088,2.209014992,700
2.22,2.220214992,700
2.2312,2.231414992,700
2.2424,2.242614992,700
2.2536,2.253814992,700
2.2648,2.265014992,700
2.276,2.276214992,700
2.2872,2.287414992,700
2.2984,2.298614992,700
2.3096,2.309814992,700
2.3208,2.321014992,700
2.332,2.332214992,700
2.3432,2.343414992,700
2.3544,2.354614992,700
2.3656,2.365814992,700
2.3768,2.377014992,700
2.388,2.388214992,700
2.3992,2.399414992,700
2.4104,2.410614992,700
2.4216,2.421814992,700
2.4328,2.433014992,700
2.444,2.444214992,700
2.4552,2.455414992,700
2.4664,2.466614992,700
2.4776,2.477814992,700
2.4888,2.489014992,700
2.5,2.500214992,700
2.5112,2.511414992,700
2.5224,2.522614992,700
2.5336,2.533814992,700
2.5448,2.545014992,700
2.556,2.556214992,700
2.5672,2.567414992,700
2.5784,2.578614992,700
2.5896,2.589814992,700
2.6008,2.601014992,700
2.612,2.612214992,700
2.6232,2.623414992,700
2.6344,2.634614992,700
2.6456,2.645814992,700
2.6568,2.657014992,700
2.668,2.668214992,700
2.6792,2.679414992,700
2.6904,2.690614992,700
2.7016,2.701814992,700
2.7128,2.713014992,700
2.724,2.724214992,700
2.7352,2.735414992,700
2.7464,2.746614992,700
2.7576,2.757814992,700
2.7688,2.769014992,700
2.78,2.780214992,700
2.7912,2.791414992,700
2.8024,2.802614992,700
2.8136,2.813814992,700
2.8248,2.825014992,700
2.836,2.836214992,700
2.8472,2.847414992,700
2.8584,2.858614992,700
2.8696,2.869814992,700
2.8808,2.881014992,700
2.892,2.892214992,700
2.9032,2.903414992,700
2.9144,2.914614992,700
2.9256,2.925814992,700
2.9368,2.937014992,700
2.948,2.948214992,700
2.9592,2.959414992,700
2.9704,2.970614992,700
2.9816,2.981814992,700
2.9928,2.993014992,700
3.004,3.004214992,700
3.0152,3.015414992,700
3.0264,3.026614992,700
3.0376,3.037814992,700
3.0488,3.049014992,700
3.06,3.060214992,700
3.0712,3.071414992,700
3.0824,3.082614992,700
3.0936,3.093814992,700
3.1048,3.105014992,700
3.116,3.116214992,700
3.1272,3.127414992,700
3.1384,3.138614992,700
3.1496,3.149814992,700
3.1608,3.161014992,700
3.172,3.172214992,700
3.1832,3.183414992,700
3.1944,3.194614992,700
3.2056,3.205814992,700
3.2168,3.217014992,700
3.228,3.228214992,700
3.2392,3.239414992,700
3.2504,3.250614992,700
3.2616,3.261814992,700
3.2728,3.273014992,700
3.284,3.284214992,700
3.2952,3.295414992,700
3.3064,3.306614992,700
3.3176,3.317814992,700
3.3288,3.329014992,700
3.34,3.340214992,700
3.3512,3.351414992,700
3.3624,3.362614992,700
3.3736,3.373814992,700
3.3848,3.385014992,700
3.396,3.396214992,700
3.4072,3.407414992,700
3.4184,3.418614992,700
3.4296,3.429814992,700
3.4408,3.441014992,700
3.452,3.452214992,700
3.4632,3.463414992,700
3.4744,3.474614992,700
3.4856,3.485814992,700
3.4968,3.497014992,700
3.508,3.508214992,700
3.5192,3.519414992,700
3.5304,3.530614992,700
3.5416,3.541814992,700
3.5528,3.553014992,700
3.564,3.564214992,700
3.5752,3.575414992,700
3.5864,3.586614992,700
3.5976,3.597814992,700
3.6088,3.609014992,700
3.62,3.620214992,700
3.6312,3.631414992,700
3.6424,3.642614992,700
3.6536,3.653814992,700
3.6648,3.665014992,700
3.676,3.676214992,700
3.6872,3.687414992,700
3.6984,3.698614992,700
3.7096,3.709814992,700
3.7208,3.721014992,700
3.732,3.732214992,700
3.7432,3.743414992,700
3.7544,3.754614992,700
3.7656,3.765814992,700
3.7768,3.777014992,700
3.788,3.788214992,700
3.7992,3.799414992,700
3.8104,3.810614992,700
3.8216,3.821814992,700
3.8328,3.833014992,700
3.844,3.844214992,700
3.8552,3.855414992,700
3.8664,3.866614992,700
3.8776,3.877814992,700
3.8888,3.889014992,700
3.9,3.900214992,700
3.9112,3.911414992,700
3.9224,3.922614992,700
3.9336,3.933814992,700
3.9448,3.945014992,700
3.956,3.956214992,700
3.9672,3.967414992,700
3.9784,3.978614992,700
3.9896,3.989814992,700
4.0008,4.001014992,700
4.012,4.012214992,700
4.0232,4.023414992,700
4.0344,4.034614992,700
4.0456,4.045814992,700
4.0568,4.057014992,700
4.068,4.068214992,700
4.0792,4.079414992,700
4.0904,4.090614992,700
4.1016,4.101814992,700
4.1128,4.113014992,700
4.124,4.124214992,700
4.1352,4.135414992,700
4.1464,4.146614992,700
4.1576,4.157814992,700
4.1688,4.169014992,700
4.18,4.180214992,700
4.1912,4.191414992,700
4.2024,4.202614992,700
4.2136,4.213814992,700
4.2248,4.225014992,700
4.236,4.236214992,700
4.2472,4.247414992,700
4.2584,4.258614992,700
4.2696,4.269814992,700
4.2808,4.281014992,700
4.292,4.292214992,700
4.3032,4.303414992,700
4.3144,4.314614992,700
4.3256,4.325814992,700
4.3368,4.337014992,700
4.348,4.348214992,700
4.3592,4.359414992,700
4.3704,4.370614992,700
4.3816,4.381814992,700
4.3928,4.393014992,700
4.404,4.404214992,700
4.4152,4.415414992,700
4.4264,4.426614992,700
4.4376,4.437814992,700
4.4488,4.449014992,700
4.46,4.460214992,700
4.4712,4.471414992,700
4.4824,4.482614992,700
4.4936,4.493814992,700
4.5048,4.505014992,700
4.516,4.516214992,700
4.5272,4.527414992,700
4.5384,4.538614992,700
4.5496,4.549814992,700
4.5608,4.561014992,700
4.572,4.572214992,700
4.5832,4.583414992,700
4.5944,4.594614992,700
4.6056,4.605814992,700
4.6168,4.617014992,700
4.628,4.628214992,700
4.6392,4.639414992,700
4.6504,4.650614992,700
4.6616,4.661814992,700
4.6728,4.673014992,700
4.684,4.684214992,700
4.6952,4.695414992,700
4.7064,4.706614992,700
4.7176,4.717814992,700
4.7288,4.729014992,700
4.74,4.740214992,700
4.7512,4.751414992,700
4.7624,4.762614992,700
4.7736,4.773814992,700
4.7848,4.785014992,700
4.796,4.796214992,700
4.8072,4.807414992,700
4.8184,4.818614992,700
4.8296,4.829814992,700
4.8408,4.841014992,700
4.852,4.852214992,700
4.8632,4.863414992,700
4.8744,4.874614992,700
4.8856,4.885814992,700
4.8968,4.897014992,700
4.908,4.908214992,700
4.9192,4.919414992,700
4.9304,4.930614992,700
4.9416,4.941814992,700
4.9528,4.953014992,700
4.964,4.964214992,700
4.9752,4.975414992,700
4.9864,4.986614992,700
4.9976,4.997814992,700
5.0088,5.009014992,700
5.02,5.020214992,700
5.0312,5.031414992,700
5.0424,5.042614992,700
5.0536,5.053814992,700
5.0648,5.065014992,700
5.076,5.076214992,700
5.0872,5.087414992,700
5.0984,5.098614992,700
5.1096,5.109814992,700
5.1208,5.121014992,700
5.132,5.132214992,700
5.1432,5.143414992,700
5.1544,5.154614992,700
5.1656,5.165814992,700
5.1768,5.177014992,700
5.188,5.188214992,700
5.1992,5.199414992,700
5.2104,5.210614992,700
5.2216,5.221814992,700
5.2328,5.233014992,700
5.244,5.244214992,700
5.2552,5.255414992,700
5.2664,5.266614992,700
5.2776,5.277814992,700
5.2888,5.289014992,700
5.3,5.300214992,700
5.3112,5.311414992,700
5.3224,5.322614992,700
5.3336,5.333814992,700
5.3448,5.345014992,700
5.356,5.356214992,700
5.3672,5.367414992,700
5.3784,5.378614992,700
5.3896,5.389814992,700
5.4008,5.401014992,700
5.412,5.412214992,700
5.4232,5.423414992,700
5.4344,5.434614992,700
5.4456,5.445814992,700
5.4568,5.457014992,700
5.468,5.468214992,700
5.4792,5.479414992,700
5.4904,5.490614992,700
5.5016,5.501814992,700
5.5128,5.513014992,700
5.524,5.524214992,700
5.5352,5.535414992,700
5.5464,5.546614992,700
5.5576,5.557814992,700
5.5688,5.569014992,700
5.58,5.580214992,700
5.5912,5.591414992,700
5.6024,5.602614992,700
5.6136,5.613814992,700
5.6248,5.625014992,700
5.636,5.636214992,700
5.6472,5.647414992,700
5.6584,5.658614992,700
5.6696,5.669814992,700
5.6808,5.681014992,700
5.692,5.692214992,700
5.7032,5.703414992,700
5.7144,5.714614992,700
5.7256,5.725814992,700
5.7368,5.737014992,700
5.748,5.748214992,700
5.7592,5.759414992,700
5.7704,5.770614992,700
5.7816,5.781814992,700
5.7928,5.793014992,700
5.804,5.804214992,700
5.8152,5.815414992,700
5.8264,5.826614992,700
5.8376,5.837814992,700
5.8488,5.849014992,700
5.86,5.860214992,700
5.8712,5.871414992,700
5.8824,5.882614992,700
5.8936,5.893814992,700
5.9048,5.905014992,700
