send_time,recv_time,packet_size
1.11282,1.11296,800
1.1256,1.12574,800
1.1384,1.13854,800
1.1512,1.15134,800
1.164,1.16414,800
1.1768,1.17694,800
1.1896,1.18974,800
1.2024,1.20254,800
1.2152,1.21534,800
1.228,1.22814,800
1.2408,1.24094,800
1.2536,1.25374,800
1.2664,1.26654,800
1.2792,1.27934,800
1.292,1.29214,800
1.3048,1.30494,800
1.3176,1.31774,800
1.3304,1.33054,800
1.3432,1.34334,800
1.356,1.35614,800
1.3688,1.36894,800
1.3816,1.38174,800
1.3944,1.39454,800
1.4072,1.40734,800
1.42,1.42014,800
1.4328,1.43294,800
1.4456,1.44574,800
1.4584,1.45854,800
1.4712,1.47134,800
1.484,1.48414,800
1.4968,1.49694,800
1.5096,1.50974,800
1.5224,1.52254,800
1.5352,1.53534,800
1.548,1.54814,800
1.5608,1.56094,800
1.5736,1.57374,800
1.5864,1.58654,800
1.5992,1.59934,800
1.612,1.61214,800
1.6248,1.62494,800
1.6376,1.63774,800
1.6504,1.65054,800
1.6632,1.66334,800
1.676,1.67614,800
1.6888,1.68894,800
1.7016,1.70174,800
1.7144,1.71454,800
1.7272,1.72734,800
1.74,1.74014,800
1.7528,1.75294,800
1.7656,1.76574,800
1.7784,1.77854,800
1.7912,1.79134,800
1.804,1.80414,800
1.8168,1.81694,800
1.8296,1.82974,800
1.8424,1.84254,800
1.8552,1.85534,800
1.868,1.86814,800
1.8808,1.88094,800
1.8936,1.89374,800
1.9064,1.90654,800
1.9192,1.91934,800
1.932,1.93214,800
1.9448,1.94494,800
1.9576,1.95774,800
1.9704,1.97054,800
1.9832,1.98334,800
1.996,1.99614,800
2.0088,2.00894,800
2.0216,2.02174,800
2.0344,2.03454,800
2.0472,2.04734,800
2.06,2.06014,800
2.0728,2.07294,800
2.0856,2.08574,800
2.0984,2.09854,800
2.1112,2.11134,800
2.124,2.12414,800
2.1368,2.13694,800
2.1496,2.14974,800
2.1624,2.16254,800
2.1752,2.17534,800
2.188,2.18814,800
2.2008,2.20094,800
2.2136,2.21374,800
2.2264,2.22654,800
2.2392,2.23934,800
2.252,2.25214,800
2.2648,2.26494,800
2.2776,2.27774,800
2.2904,2.29054,800
2.3032,2.30334,800
2.316,2.31614,800
2.3288,2.32894,800
2.3416,2.34174,800
2.3544,2.35454,800
2.3672,2.36734,800
2.38,2.38014,800
2.3928,2.39294,800
2.4056,2.40574,800
2.4184,2.41854,800
2.4312,2.43134,800
2.444,2.44414,800
2.4568,2.45694,800
2.4696,2.46974,800
2.4824,2.48254,800
2.4952,2.49534,800
2.508,2.50814,800
2.5208,2.52094,800
2.5336,2.53374,800
2.5464,2.54654,800
2.5592,2.55934,800
2.572,2.57214,800
2.5848,2.58494,800
2.5976,2.59774,800
2.6104,2.61054,800
2.6232,2.62334,800
2.636,2.63614,800
2.6488,2.64894,800
2.6616,2.66174,800
2.6744,2.67454,800
2.6872,2.68734,800
2.7,2.70014,800
2.7128,2.71294,800
2.7256,2.72574,800
2.7384,2.73854,800
2.7512,2.75134,800
2.764,2.76414,800
2.7768,2.77694,800
2.7896,2.78974,800
2.8024,2.80254,800
2.8152,2.81534,800
2.828,2.82814,800
2.8408,2.84094,800
2.8536,2.85374,800
2.8664,2.86654,800
2.8792,2.87934,800
2.892,2.89214,800
2.9048,2.90494,800
2.9176,2.91774,800
2.9304,2.93054,800
2.9432,2.94334,800
2.956,2.95614,800
2.9688,2.96894,800
2.9816,2.98174,800
2.9944,2.99454,800
3.0072,3.00734,800
3.02,3.02014,800
3.0328,3.03294,800
3.0456,3.04574,800
3.0584,3.05854,800
3.0712,3.07134,800
3.084,3.08414,800
3.0968,3.09694,800
3.1096,3.10974,800
3.1224,3.12254,800
3.1352,3.13534,800
3.148,3.14814,800
3.1608,3.16094,800
3.1736,3.17374,800
3.1864,3.18654,800
3.1992,3.19934,800
3.212,3.21214,800
3.2248,3.22494,800
3.2376,3.23774,800
3.2504,3.25054,800
3.2632,3.26334,800
3.276,3.27614,800
3.2888,3.28894,800
3.3016,3.30174,800
3.3144,3.31454,800
3.3272,3.32734,800
3.34,3.34014,800
3.3528,3.35294,800
3.3656,3.36574,800
3.3784,3.37854,800
3.3912,3.39134,800
3.404,3.40414,800
3.4168,3.41694,800
3.4296,3.42974,800
3.4424,3.44254,800
3.4552,3.45534,800
3.468,3.46814,800
3.4808,3.48094,800
3.4936,3.49374,800
3.5064,3.50654,800
3.5192,3.51934,800
3.532,3.53214,800
3.5448,3.54494,800
3.5576,3.55774,800
3.5704,3.57054,800
3.5832,3.58334,800
3.596,3.59614,800
3.6088,3.60894,800
3.6216,3.62174,800
3.6344,3.63454,800
3.6472,3.64734,800
3.66,3.66014,800
3.6728,3.67294,800
3.6856,3.68574,800
3.6984,3.69854,800
3.7112,3.71134,800
3.724,3.72414,800
3.7368,3.73694,800
3.7496,3.74974,800
3.7624,3.76254,800
3.7752,3.77534,800
3.788,3.78814,800
3.8008,3.80094,800
3.8136,3.81374,800
3.8264,3.82654,800
3.8392,3.83934,800
3.852,3.85214,800
3.8648,3.86494,800
3.8776,3.87774,800
3.8904,3.89054,800
3.9032,3.90334,800
3.916,3.91614,800
3.9288,3.92894,800
3.9416,3.94174,800
3.9544,3.95454,800
3.9672,3.96734,800
3.98,3.98014,800
3.9928,3.99294,800
4.0056,4.00574,800
4.0184,4.01854,800
