send_time,recv_time,packet_size
1.12162,1.12185,1350
1.1432,1.14342,1350
1.1648,1.16502,1350
1.1864,1.18662,1350
1.208,1.20822,1350
1.2296,1.22982,1350
1.2512,1.25142,1350
1.2728,1.27302,1350
1.2944,1.29462,1350
1.316,1.31622,1350
1.3376,1.33782,1350
1.3592,1.35942,1350
1.3808,1.38102,1350
1.4024,1.40262,1350
1.424,1.42422,1350
1.4456,1.44582,1350
1.4672,1.46742,1350
1.4888,1.48902,1350
1.5104,1.51062,1350
1.532,1.53222,1350
1.5536,1.55382,1350
1.5752,1.57542,1350
1.5968,1.59702,1350
1.6184,1.61862,1350
1.64,1.64022,1350
1.6616,1.66182,1350
1.6832,1.68342,1350
1.7048,1.70502,1350
1.7264,1.72662,1350
1.748,1.74822,1350
1.7696,1.76982,1350
1.7912,1.79142,1350
1.8128,1.81302,1350
1.8344,1.83462,1350
1.856,1.85622,1350
1.8776,1.87782,1350
1.8992,1.89942,1350
1.9208,1.92102,1350
1.9424,1.94262,1350
1.964,1.96422,1350
1.9856,1.98582,1350
2.0072,2.00742,1350
2.0288,2.02902,1350
2.0504,2.05062,1350
2.072,2.07222,1350
2.0936,2.09382,1350
2.1152,2.11542,1350
2.1368,2.13702,1350
2.1584,2.15862,1350
2.18,2.18022,1350
2.2016,2.20182,1350
2.2232,2.22342,1350
2.2448,2.24502,1350
2.2664,2.26662,1350
2.288,2.28822,1350
2.3096,2.30982,1350
2.3312,2.33142,1350
2.3528,2.35302,1350
2.3744,2.37462,1350
2.396,2.39622,1350
2.4176,2.41782,1350
2.4392,2.43942,1350
2.4608,2.46102,1350
2.4824,2.48262,1350
2.504,2.50422,1350
2.5256,2.52582,1350
2.5472,2.54742,1350
2.5688,2.56902,1350
2.5904,2.59062,1350
2.612,2.61222,1350
2.6336,2.63382,1350
2.6552,2.65542,1350
2.6768,2.67702,1350
2.6984,2.69862,1350
2.72,2.72022,1350
2.7416,2.74182,1350
2.7632,2.76342,1350
2.7848,2.78502,1350
2.8064,2.80662,1350
2.828,2.82822,1350
2.8496,2.84982,1350
2.8712,2.87142,1350
2.8928,2.89302,1350
2.9144,2.91462,1350
2.936,2.93622,1350
2.9576,2.95782,1350
2.9792,2.97942,1350
3.0008,3.00102,1350
3.0224,3.02262,1350
3.044,3.04422,1350
3.0656,3.06582,1350
3.0872,3.08742,1350
3.1088,3.10902,1350
3.1304,3.13062,1350
3.152,3.15222,1350
3.1736,3.17382,1350
3.1952,3.19542,1350
3.2168,3.21702,1350
3.2384,3.23862,1350
3.26,3.26022,1350
3.2816,3.28182,1350
3.3032,3.30342,1350
3.3248,3.32502,1350
3.3464,3.34662,1350
