send_time,recv_time,delay
1.10821,1.1083,9.0284e-05
1.11638,1.11647,8.9284e-05
1.12458,1.12467,8.9284e-05
1.13277,1.13286,8.9284e-05
1.14096,1.14105,8.9284e-05
1.14915,1.14924,8.9284e-05
1.15734,1.15743,8.9284e-05
1.16554,1.16563,8.9284e-05
1.17373,1.17382,8.9284e-05
1.18192,1.18201,8.9284e-05
1.19011,1.1902,8.9284e-05
1.1983,1.19839,8.9284e-05
1.2065,1.20659,8.9284e-05
1.21469,1.21478,8.9284e-05
1.22288,1.22297,8.9284e-05
1.23107,1.23116,8.9284e-05
1.23926,1.23935,8.9284e-05
1.24746,1.24755,8.9284e-05
1.25565,1.25574,8.9284e-05
1.26384,1.26393,8.9284e-05
1.27203,1.27212,8.9284e-05
1.28022,1.28031,8.9284e-05
1.28842,1.28851,8.9284e-05
1.29661,1.2967,8.9284e-05
1.3048,1.30489,8.9284e-05
1.31299,1.31308,8.9284e-05
1.32118,1.32127,8.9284e-05
1.32938,1.32947,8.9284e-05
1.33757,1.33766,8.9284e-05
1.34576,1.34585,8.9284e-05
1.35395,1.35404,8.9284e-05
1.36214,1.36223,8.9284e-05
1.37034,1.37043,8.9284e-05
1.37853,1.37862,8.9284e-05
1.38672,1.38681,8.9284e-05
1.39491,1.395,8.9284e-05
1.4031,1.40319,8.9284e-05
1.4113,1.41139,8.9284e-05
1.41949,1.41958,8.9284e-05
1.42768,1.42777,8.9284e-05
1.43587,1.43596,8.9284e-05
1.44406,1.44415,8.9284e-05
1.45226,1.45235,8.9284e-05
1.46045,1.46054,8.9284e-05
1.46864,1.46873,8.9284e-05
1.47683,1.47692,8.9284e-05
1.48502,1.48511,8.9284e-05
1.49322,1.49331,8.9284e-05
1.50141,1.5015,8.9284e-05
1.5096,1.50969,8.9284e-05
1.51779,1.51788,8.9284e-05
1.52598,1.52607,8.9284e-05
1.53418,1.53427,8.9284e-05
1.54237,1.54246,8.9284e-05
1.55056,1.55065,8.9284e-05
1.55875,1.55884,8.9284e-05
1.56694,1.56703,8.9284e-05
1.57514,1.57523,8.9284e-05
1.58333,1.58342,8.9284e-05
1.59152,1.59161,8.9284e-05
1.59971,1.5998,8.9284e-05
1.6079,1.60799,8.9284e-05
1.6161,1.61619,8.9284e-05
1.62429,1.62438,8.9284e-05
1.63248,1.63257,8.9284e-05
1.64067,1.64076,8.9284e-05
1.64886,1.64895,8.9284e-05
1.65706,1.65715,8.9284e-05
1.66525,1.66534,8.9284e-05
1.67344,1.67353,8.9284e-05
1.68163,1.68172,8.9284e-05
1.68982,1.68991,8.9284e-05
1.69802,1.69811,8.9284e-05
1.70621,1.7063,8.9284e-05
1.7144,1.71449,8.9284e-05
1.72259,1.72268,8.9284e-05
1.73078,1.73087,8.9284e-05
1.73898,1.73907,8.9284e-05
1.74717,1.74726,8.9284e-05
1.75536,1.75545,8.9284e-05
1.76355,1.76364,8.9284e-05
1.77174,1.77183,8.9284e-05
1.77994,1.78003,8.9284e-05
1.78813,1.78822,8.9284e-05
1.79632,1.79641,8.9284e-05
1.80451,1.8046,8.9284e-05
1.8127,1.81279,8.9284e-05
1.8209,1.82099,8.9284e-05
1.82909,1.82918,8.9284e-05
1.83728,1.83737,8.9284e-05
1.84547,1.84556,8.9284e-05
1.85366,1.85375,8.9284e-05
1.86186,1.86195,8.9284e-05
1.87005,1.87014,8.9284e-05
1.87824,1.87833,8.9284e-05
1.88643,1.88652,8.9284e-05
1.89462,1.89471,8.9284e-05
1.90282,1.90291,8.9284e-05
1.91101,1.9111,8.9284e-05
1.9192,1.91929,8.9284e-05
1.92739,1.92748,8.9284e-05
1.93558,1.93567,8.9284e-05
1.94378,1.94387,8.9284e-05
1.95197,1.95206,8.9284e-05
1.96016,1.96025,8.9284e-05
1.96835,1.96844,8.9284e-05
1.97654,1.97663,8.9284e-05
1.98474,1.98483,8.9284e-05
1.99293,1.99302,8.9284e-05
2.00112,2.00121,8.9284e-05
2.00931,2.0094,8.9284e-05
2.0175,2.01759,8.9284e-05
2.0257,2.02579,8.9284e-05
2.03389,2.03398,8.9284e-05
2.04208,2.04217,8.9284e-05
2.05027,2.05036,8.9284e-05
2.05846,2.05855,8.9284e-05
2.06666,2.06675,8.9284e-05
2.07485,2.07494,8.9284e-05
2.08304,2.08313,8.9284e-05
2.09123,2.09132,8.9284e-05
2.09942,2.09951,8.9284e-05
2.10762,2.10771,8.9284e-05
2.11581,2.1159,8.9284e-05
2.124,2.12409,8.9284e-05
2.13219,2.13228,8.9284e-05
2.14038,2.14047,8.9284e-05
2.14858,2.14867,8.9284e-05
2.15677,2.15686,8.9284e-05
2.16496,2.16505,8.9284e-05
2.17315,2.17324,8.9284e-05
2.18134,2.18143,8.9284e-05
2.18954,2.18963,8.9284e-05
2.19773,2.19782,8.9284e-05
2.20592,2.20601,8.9284e-05
2.21411,2.2142,8.9284e-05
2.2223,2.22239,8.9284e-05
2.2305,2.23059,8.9284e-05
2.23869,2.23878,8.9284e-05
2.24688,2.24697,8.9284e-05
2.25507,2.25516,8.9284e-05
2.26326,2.26335,8.9284e-05
2.27146,2.27155,8.9284e-05
2.27965,2.27974,8.9284e-05
2.28784,2.28793,8.9284e-05
2.29603,2.29612,8.9284e-05
2.30422,2.30431,8.9284e-05
2.31242,2.31251,8.9284e-05
2.32061,2.3207,8.9284e-05
2.3288,2.32889,8.9284e-05
2.33699,2.33708,8.9284e-05
2.34518,2.34527,8.9284e-05
2.35338,2.35347,8.9284e-05
2.36157,2.36166,8.9284e-05
2.36976,2.36985,8.9284e-05
2.37795,2.37804,8.9284e-05
2.38614,2.38623,8.9284e-05
2.39434,2.39443,8.9284e-05
2.40253,2.40262,8.9284e-05
2.41072,2.41081,8.9284e-05
2.41891,2.419,8.9284e-05
2.4271,2.42719,8.9284e-05
2.4353,2.43539,8.9284e-05
2.44349,2.44358,8.9284e-05
2.45168,2.45177,8.9284e-05
2.45987,2.45996,8.9284e-05
2.46806,2.46815,8.9284e-05
2.47626,2.47635,8.9284e-05
2.48445,2.48454,8.9284e-05
2.49264,2.49273,8.9284e-05
2.50083,2.50092,8.9284e-05
2.50902,2.50911,8.9284e-05
2.51722,2.51731,8.9284e-05
2.52541,2.5255,8.9284e-05
2.5336,2.53369,8.9284e-05
2.54179,2.54188,8.9284e-05
2.54998,2.55007,8.9284e-05
2.55818,2.55827,8.9284e-05
2.56637,2.56646,8.9284e-05
2.57456,2.57465,8.9284e-05
2.58275,2.58284,8.9284e-05
2.59094,2.59103,8.9284e-05
2.59914,2.59923,8.9284e-05
2.60733,2.60742,8.9284e-05
2.61552,2.61561,8.9284e-05
2.62371,2.6238,8.9284e-05
2.6319,2.63199,8.9284e-05
2.6401,2.64019,8.9284e-05
2.64829,2.64838,8.9284e-05
2.65648,2.65657,8.9284e-05
2.66467,2.66476,8.9284e-05
2.67286,2.67295,8.9284e-05
2.68106,2.68115,8.9284e-05
2.68925,2.68934,8.9284e-05
2.69744,2.69753,8.9284e-05
2.70563,2.70572,8.9284e-05
2.71382,2.71391,8.9284e-05
2.72202,2.72211,8.9284e-05
2.73021,2.7303,8.9284e-05
2.7384,2.73849,8.9284e-05
2.74659,2.74668,8.9284e-05
2.75478,2.75487,8.9284e-05
2.76298,2.76307,8.9284e-05
2.77117,2.77126,8.9284e-05
2.77936,2.77945,8.9284e-05
2.78755,2.78764,8.9284e-05
