send_time,recv_time,packet_size
1.1008,1.100837852,50
1.1016,1.101615364,50
1.1024,1.102415364,50
1.1032,1.103215364,50
1.104,1.104015364,50
1.1048,1.104815364,50
1.1056,1.105615364,50
1.1064,1.106415364,50
1.1072,1.107215364,50
1.108,1.108015364,50
1.1088,1.108815364,50
1.1096,1.109615364,50
1.1104,1.110415364,50
1.1112,1.111215364,50
1.112,1.112015364,50
1.1128,1.112815364,50
1.1136,1.113615364,50
1.1144,1.114415364,50
1.1152,1.115215364,50
1.116,1.116015364,50
1.1168,1.116815364,50
1.1176,1.117615364,50
1.1184,1.118415364,50
1.1192,1.119215364,50
1.12,1.120015364,50
1.1208,1.120815364,50
1.1216,1.121615364,50
1.1224,1.122415364,50
1.1232,1.123215364,50
1.124,1.124015364,50
1.1248,1.124815364,50
1.1256,1.125615364,50
1.1264,1.126415364,50
1.1272,1.127215364,50
1.128,1.128015364,50
1.1288,1.128815364,50
1.1296,1.129615364,50
1.1304,1.130415364,50
1.1312,1.131215364,50
1.132,1.132015364,50
1.1328,1.132815364,50
1.1336,1.133615364,50
1.1344,1.134415364,50
1.1352,1.135215364,50
1.136,1.136015364,50
1.1368,1.136815364,50
1.1376,1.137615364,50
1.1384,1.138415364,50
1.1392,1.139215364,50
1.14,1.140015364,50
1.1408,1.140815364,50
1.1416,1.141615364,50
1.1424,1.142415364,50
1.1432,1.143215364,50
1.144,1.144015364,50
1.1448,1.144815364,50
1.1456,1.145615364,50
1.1464,1.146415364,50
1.1472,1.147215364,50
1.148,1.148015364,50
1.1488,1.148815364,50
1.1496,1.149615364,50
1.1504,1.150415364,50
1.1512,1.151215364,50
1.152,1.152015364,50
1.1528,1.152815364,50
1.1536,1.153615364,50
1.1544,1.154415364,50
1.1552,1.155215364,50
1.156,1.156015364,50
1.1568,1.156815364,50
1.1576,1.157615364,50
1.1584,1.158415364,50
1.1592,1.159215364,50
1.16,1.160015364,50
1.1608,1.160815364,50
1.1616,1.161615364,50
1.1624,1.162415364,50
1.1632,1.163215364,50
1.164,1.164015364,50
1.1648,1.164815364,50
1.1656,1.165615364,50
1.1664,1.166415364,50
1.1672,1.167215364,50
1.168,1.168015364,50
1.1688,1.168815364,50
1.1696,1.169615364,50
1.1704,1.170415364,50
1.1712,1.171215364,50
1.172,1.172015364,50
1.1728,1.172815364,50
1.1736,1.173615364,50
1.1744,1.174415364,50
1.1752,1.175215364,50
1.176,1.176015364,50
1.1768,1.176815364,50
1.1776,1.177615364,50
1.1784,1.178415364,50
1.1792,1.179215364,50
1.18,1.180015364,50
1.1808,1.180815364,50
1.1816,1.181615364,50
1.1824,1.182415364,50
1.1832,1.183215364,50
1.184,1.184015364,50
1.1848,1.184815364,50
1.1856,1.185615364,50
1.1864,1.186415364,50
1.1872,1.187215364,50
1.188,1.188015364,50
1.1888,1.188815364,50
1.1896,1.189615364,50
1.1904,1.190415364,50
1.1912,1.191215364,50
1.192,1.192015364,50
1.1928,1.192815364,50
1.1936,1.193615364,50
1.1944,1.194415364,50
1.1952,1.195215364,50
1.196,1.196015364,50
1.1968,1.196815364,50
1.1976,1.197615364,50
1.1984,1.198415364,50
1.1992,1.199215364,50
1.2,1.200015364,50
1.2008,1.200815364,50
1.2016,1.201615364,50
1.2024,1.202415364,50
1.2032,1.203215364,50
1.204,1.204015364,50
1.2048,1.204815364,50
1.2056,1.205615364,50
1.2064,1.206415364,50
1.2072,1.207215364,50
1.208,1.208015364,50
1.2088,1.208815364,50
1.2096,1.209615364,50
1.2104,1.210415364,50
1.2112,1.211215364,50
1.212,1.212015364,50
1.2128,1.212815364,50
1.2136,1.213615364,50
1.2144,1.214415364,50
1.2152,1.215215364,50
1.216,1.216015364,50
1.2168,1.216815364,50
1.2176,1.217615364,50
1.2184,1.218415364,50
1.2192,1.219215364,50
1.22,1.220015364,50
1.2208,1.220815364,50
1.2216,1.221615364,50
1.2224,1.222415364,50
1.2232,1.223215364,50
1.224,1.224015364,50
1.2248,1.224815364,50
1.2256,1.225615364,50
1.2264,1.226415364,50
1.2272,1.227215364,50
1.228,1.228015364,50
1.2288,1.228815364,50
1.2296,1.229615364,50
1.2304,1.230415364,50
1.2312,1.231215364,50
1.232,1.232015364,50
1.2328,1.232815364,50
