send_time,recv_time,packet_size
1.5,1.500087394,500
1.508,1.508087394,500
1.516,1.516087394,500
1.524,1.524087394,500
1.532,1.532087394,500
1.54,1.540087394,500
1.548,1.548087394,500
1.556,1.556087394,500
1.564,1.564087394,500
1.572,1.572087394,500
1.58,1.580087394,500
1.588,1.588087394,500
1.596,1.596087394,500
1.604,1.604087394,500
1.612,1.612087394,500
1.62,1.620087394,500
1.628,1.628087394,500
1.636,1.636087394,500
1.644,1.644087394,500
1.652,1.652087394,500
1.66,1.660087394,500
1.668,1.668087394,500
1.676,1.676087394,500
1.684,1.684087394,500
1.692,1.692087394,500
1.7,1.700087394,500
1.708,1.708087394,500
1.716,1.716087394,500
1.724,1.724087394,500
1.732,1.732087394,500
1.74,1.740087394,500
1.748,1.748087394,500
1.756,1.756087394,500
1.764,1.764087394,500
1.772,1.772087394,500
1.78,1.780087394,500
1.788,1.788087394,500
1.796,1.796087394,500
1.804,1.804087394,500
1.812,1.812087394,500
1.82,1.820087394,500
1.828,1.828087394,500
1.836,1.836087394,500
1.844,1.844087394,500
1.852,1.852087394,500
1.86,1.860087394,500
1.868,1.868087394,500
1.876,1.876087394,500
1.884,1.884087394,500
1.892,1.892087394,500
1.9,1.900087394,500
1.908,1.908087394,500
1.916,1.916087394,500
1.924,1.924087394,500
1.932,1.932087394,500
1.94,1.940087394,500
1.948,1.948087394,500
1.956,1.956087394,500
1.964,1.964087394,500
1.972,1.972087394,500
1.98,1.980087394,500
1.988,1.988087394,500
1.996,1.996087394,500
2.004,2.004087394,500
2.012,2.012087394,500
2.02,2.020087394,500
2.028,2.028087394,500
2.036,2.036087394,500
2.044,2.044087394,500
2.052,2.052087394,500
2.06,2.060087394,500
2.068,2.068087394,500
2.076,2.076087394,500
2.084,2.084087394,500
2.092,2.092087394,500
2.1,2.100087394,500
2.108,2.108087394,500
2.116,2.116087394,500
2.124,2.124087394,500
2.132,2.132087394,500
2.14,2.140087394,500
2.148,2.148087394,500
2.156,2.156087394,500
2.164,2.164087394,500
2.172,2.172087394,500
2.18,2.180087394,500
2.188,2.188087394,500
2.196,2.196087394,500
2.204,2.204087394,500
2.212,2.212087394,500
2.22,2.220087394,500
2.228,2.228087394,500
2.236,2.236087394,500
2.244,2.244087394,500
2.252,2.252087394,500
2.26,2.260087394,500
2.268,2.268087394,500
2.276,2.276087394,500
2.284,2.284087394,500
2.292,2.292087394,500
2.3,2.300087394,500
2.308,2.308087394,500
2.316,2.316087394,500
2.324,2.324087394,500
2.332,2.332087394,500
2.34,2.340087394,500
2.348,2.348087394,500
2.356,2.356087394,500
2.364,2.364087394,500
2.372,2.372087394,500
2.38,2.380087394,500
2.388,2.388087394,500
2.396,2.396087394,500
2.404,2.404087394,500
2.412,2.412087394,500
2.42,2.420087394,500
2.428,2.428087394,500
2.436,2.436087394,500
2.444,2.444087394,500
2.452,2.452087394,500
2.46,2.460087394,500
2.468,2.468087394,500
2.476,2.476087394,500
2.484,2.484087394,500
2.492,2.492087394,500
2.5,2.500087394,500
2.508,2.508087394,500
2.516,2.516087394,500
2.524,2.524087394,500
2.532,2.532087394,500
2.54,2.540087394,500
2.548,2.548087394,500
2.556,2.556087394,500
2.564,2.564087394,500
2.572,2.572087394,500
2.58,2.580087394,500
2.588,2.588087394,500
2.596,2.596087394,500
2.604,2.604087394,500
2.612,2.612087394,500
2.62,2.620087394,500
2.628,2.628087394,500
2.636,2.636087394,500
2.644,2.644087394,500
2.652,2.652087394,500
2.66,2.660087394,500
2.668,2.668087394,500
2.676,2.676087394,500
2.684,2.684087394,500
2.692,2.692087394,500
2.7,2.700087394,500
2.708,2.708087394,500
2.716,2.716087394,500
2.724,2.724087394,500
2.732,2.732087394,500
2.74,2.740087394,500
2.748,2.748087394,500
2.756,2.756087394,500
2.764,2.764087394,500
2.772,2.772087394,500
2.78,2.780087394,500
2.788,2.788087394,500
2.796,2.796087394,500
2.804,2.804087394,500
2.812,2.812087394,500
2.82,2.820087394,500
2.828,2.828087394,500
2.836,2.836087394,500
2.844,2.844087394,500
2.852,2.852087394,500
2.86,2.860087394,500
2.868,2.868087394,500
2.876,2.876087394,500
2.884,2.884087394,500
2.892,2.892087394,500
2.9,2.900087394,500
2.908,2.908087394,500
2.916,2.916087394,500
2.924,2.924087394,500
2.932,2.932087394,500
2.94,2.940087394,500
2.948,2.948087394,500
2.956,2.956087394,500
2.964,2.964087394,500
2.972,2.972087394,500
2.98,2.980087394,500
2.988,2.988087394,500
2.996,2.996087394,500
3.004,3.004087394,500
3.012,3.012087394,500
3.02,3.020087394,500
3.028,3.028087394,500
3.036,3.036087394,500
3.044,3.044087394,500
3.052,3.052087394,500
3.06,3.060087394,500
3.068,3.068087394,500
3.076,3.076087394,500
3.084,3.084087394,500
3.092,3.092087394,500
3.1,3.100087394,500
3.108,3.108087394,500
3.116,3.116087394,500
3.124,3.124087394,500
3.132,3.132087394,500
3.14,3.140087394,500
3.148,3.148087394,500
3.156,3.156087394,500
3.164,3.164087394,500
3.172,3.172087394,500
3.18,3.180087394,500
3.188,3.188087394,500
3.196,3.196087394,500
3.204,3.204087394,500
3.212,3.212087394,500
3.22,3.220087394,500
3.228,3.228087394,500
3.236,3.236087394,500
3.244,3.244087394,500
3.252,3.252087394,500
3.26,3.260087394,500
3.268,3.268087394,500
3.276,3.276087394,500
3.284,3.284087394,500
3.292,3.292087394,500
3.3,3.300087394,500
3.308,3.308087394,500
3.316,3.316087394,500
3.324,3.324087394,500
3.332,3.332087394,500
3.34,3.340087394,500
3.348,3.348087394,500
3.356,3.356087394,500
3.364,3.364087394,500
3.372,3.372087394,500
3.38,3.380087394,500
3.388,3.388087394,500
3.396,3.396087394,500
3.404,3.404087394,500
3.412,3.412087394,500
3.42,3.420087394,500
3.428,3.428087394,500
3.436,3.436087394,500
3.444,3.444087394,500
3.452,3.452087394,500
3.46,3.460087394,500
3.468,3.468087394,500
3.476,3.476087394,500
3.484,3.484087394,500
3.492,3.492087394,500
3.5,3.500087394,500
3.508,3.508087394,500
3.516,3.516087394,500
3.524,3.524087394,500
3.532,3.532087394,500
3.54,3.540087394,500
3.548,3.548087394,500
3.556,3.556087394,500
3.564,3.564087394,500
3.572,3.572087394,500
3.58,3.580087394,500
3.588,3.588087394,500
3.596,3.596087394,500
3.604,3.604087394,500
3.612,3.612087394,500
3.62,3.620087394,500
3.628,3.628087394,500
3.636,3.636087394,500
3.644,3.644087394,500
3.652,3.652087394,500
3.66,3.660087394,500
3.668,3.668087394,500
3.676,3.676087394,500
3.684,3.684087394,500
3.692,3.692087394,500
3.7,3.700087394,500
3.708,3.708087394,500
3.716,3.716087394,500
3.724,3.724087394,500
3.732,3.732087394,500
3.74,3.740087394,500
3.748,3.748087394,500
3.756,3.756087394,500
3.764,3.764087394,500
3.772,3.772087394,500
3.78,3.780087394,500
3.788,3.788087394,500
3.796,3.796087394,500
3.804,3.804087394,500
3.812,3.812087394,500
3.82,3.820087394,500
3.828,3.828087394,500
3.836,3.836087394,500
3.844,3.844087394,500
3.852,3.852087394,500
3.86,3.860087394,500
3.868,3.868087394,500
3.876,3.876087394,500
3.884,3.884087394,500
3.892,3.892087394,500
3.9,3.900087394,500
3.908,3.908087394,500
3.916,3.916087394,500
3.924,3.924087394,500
3.932,3.932087394,500
3.94,3.940087394,500
3.948,3.948087394,500
3.956,3.956087394,500
3.964,3.964087394,500
3.972,3.972087394,500
3.98,3.980087394,500
3.988,3.988087394,500
3.996,3.996087394,500
4.004,4.004087394,500
4.012,4.012087394,500
4.02,4.020087394,500
4.028,4.028087394,500
4.036,4.036087394,500
4.044,4.044087394,500
4.052,4.052087394,500
4.06,4.060087394,500
4.068,4.068087394,500
4.076,4.076087394,500
4.084,4.084087394,500
4.092,4.092087394,500
4.1,4.100087394,500
4.108,4.108087394,500
4.116,4.116087394,500
4.124,4.124087394,500
4.132,4.132087394,500
4.14,4.140087394,500
4.148,4.148087394,500
4.156,4.156087394,500
4.164,4.164087394,500
4.172,4.172087394,500
4.18,4.180087394,500
4.188,4.188087394,500
4.196,4.196087394,500
4.204,4.204087394,500
4.212,4.212087394,500
4.22,4.220087394,500
4.228,4.228087394,500
4.236,4.236087394,500
4.244,4.244087394,500
4.252,4.252087394,500
4.26,4.260087394,500
4.268,4.268087394,500
4.276,4.276087394,500
4.284,4.284087394,500
4.292,4.292087394,500
4.3,4.300087394,500
4.308,4.308087394,500
4.316,4.316087394,500
4.324,4.324087394,500
4.332,4.332087394,500
4.34,4.340087394,500
4.348,4.348087394,500
4.356,4.356087394,500
4.364,4.364087394,500
4.372,4.372087394,500
4.38,4.380087394,500
4.388,4.388087394,500
4.396,4.396087394,500
4.404,4.404087394,500
4.412,4.412087394,500
4.42,4.420087394,500
4.428,4.428087394,500
4.436,4.436087394,500
4.444,4.444087394,500
4.452,4.452087394,500
4.46,4.460087394,500
4.468,4.468087394,500
4.476,4.476087394,500
4.484,4.484087394,500
4.492,4.492087394,500
4.5,4.500087394,500
4.508,4.508087394,500
4.516,4.516087394,500
4.524,4.524087394,500
4.532,4.532087394,500
4.54,4.540087394,500
4.548,4.548087394,500
4.556,4.556087394,500
4.564,4.564087394,500
4.572,4.572087394,500
4.58,4.580087394,500
4.588,4.588087394,500
4.596,4.596087394,500
4.604,4.604087394,500
4.612,4.612087394,500
4.62,4.620087394,500
4.628,4.628087394,500
4.636,4.636087394,500
4.644,4.644087394,500
4.652,4.652087394,500
4.66,4.660087394,500
4.668,4.668087394,500
4.676,4.676087394,500
4.684,4.684087394,500
4.692,4.692087394,500
4.7,4.700087394,500
4.708,4.708087394,500
4.716,4.716087394,500
4.724,4.724087394,500
4.732,4.732087394,500
4.74,4.740087394,500
4.748,4.748087394,500
4.756,4.756087394,500
4.764,4.764087394,500
4.772,4.772087394,500
4.78,4.780087394,500
4.788,4.788087394,500
4.796,4.796087394,500
4.804,4.804087394,500
4.812,4.812087394,500
4.82,4.820087394,500
4.828,4.828087394,500
4.836,4.836087394,500
4.844,4.844087394,500
4.852,4.852087394,500
4.86,4.860087394,500
4.868,4.868087394,500
4.876,4.876087394,500
4.884,4.884087394,500
4.892,4.892087394,500
4.9,4.900087394,500
4.908,4.908087394,500
4.916,4.916087394,500
4.924,4.924087394,500
4.932,4.932087394,500
4.94,4.940087394,500
4.948,4.948087394,500
4.956,4.956087394,500
4.964,4.964087394,500
4.972,4.972087394,500
4.98,4.980087394,500
4.988,4.988087394,500
4.996,4.996087394,500
5.004,5.004087394,500
5.012,5.012087394,500
5.02,5.020087394,500
5.028,5.028087394,500
5.036,5.036087394,500
5.044,5.044087394,500
5.052,5.052087394,500
5.06,5.060087394,500
5.068,5.068087394,500
5.076,5.076087394,500
5.084,5.084087394,500
5.092,5.092087394,500
5.1,5.100087394,500
5.108,5.108087394,500
5.116,5.116087394,500
5.124,5.124087394,500
5.132,5.132087394,500
5.14,5.140087394,500
5.148,5.148087394,500
5.156,5.156087394,500
5.164,5.164087394,500
5.172,5.172087394,500
5.18,5.180087394,500
5.188,5.188087394,500
5.196,5.196087394,500
5.204,5.204087394,500
5.212,5.212087394,500
5.22,5.220087394,500
5.228,5.228087394,500
5.236,5.236087394,500
5.244,5.244087394,500
5.252,5.252087394,500
5.26,5.260087394,500
5.268,5.268087394,500
5.276,5.276087394,500
5.284,5.284087394,500
5.292,5.292087394,500
5.3,5.300087394,500
5.308,5.308087394,500
5.316,5.316087394,500
5.324,5.324087394,500
5.332,5.332087394,500
5.34,5.340087394,500
5.348,5.348087394,500
5.356,5.356087394,500
5.364,5.364087394,500
5.372,5.372087394,500
5.38,5.380087394,500
5.388,5.388087394,500
5.396,5.396087394,500
5.404,5.404087394,500
5.412,5.412087394,500
5.42,5.420087394,500
5.428,5.428087394,500
5.436,5.436087394,500
5.444,5.444087394,500
5.452,5.452087394,500
5.46,5.460087394,500
5.468,5.468087394,500
5.476,5.476087394,500
5.484,5.484087394,500
5.492,5.492087394,500
5.5,5.500087394,500
5.508,5.508087394,500
5.516,5.516087394,500
5.524,5.524087394,500
5.532,5.532087394,500
5.54,5.540087394,500
5.548,5.548087394,500
5.556,5.556087394,500
5.564,5.564087394,500
5.572,5.572087394,500
5.58,5.580087394,500
5.588,5.588087394,500
5.596,5.596087394,500
5.604,5.604087394,500
5.612,5.612087394,500
5.62,5.620087394,500
5.628,5.628087394,500
5.636,5.636087394,500
5.644,5.644087394,500
5.652,5.652087394,500
5.66,5.660087394,500
5.668,5.668087394,500
5.676,5.676087394,500
5.684,5.684087394,500
5.692,5.692087394,500
5.7,5.700087394,500
5.708,5.708087394,500
5.716,5.716087394,500
5.724,5.724087394,500
5.732,5.732087394,500
5.74,5.740087394,500
5.748,5.748087394,500
5.756,5.756087394,500
5.764,5.764087394,500
5.772,5.772087394,500
5.78,5.780087394,500
5.788,5.788087394,500
5.796,5.796087394,500
5.804,5.804087394,500
5.812,5.812087394,500
5.82,5.820087394,500
5.828,5.828087394,500
5.836,5.836087394,500
5.844,5.844087394,500
5.852,5.852087394,500
5.86,5.860087394,500
5.868,5.868087394,500
5.876,5.876087394,500
5.884,5.884087394,500
5.892,5.892087394,500
5.9,5.900087394,500
5.908,5.908087394,500
5.916,5.916087394,500
5.924,5.924087394,500
5.932,5.932087394,500
5.94,5.940087394,500
5.948,5.948087394,500
5.956,5.956087394,500
5.964,5.964087394,500
5.972,5.972087394,500
5.98,5.980087394,500
5.988,5.988087394,500
5.996,5.996087394,500
6.004,6.004087394,500
6.012,6.012087394,500
6.02,6.020087394,500
6.028,6.028087394,500
6.036,6.036087394,500
6.044,6.044087394,500
6.052,6.052087394,500
6.06,6.060087394,500
6.068,6.068087394,500
6.076,6.076087394,500
6.084,6.084087394,500
6.092,6.092087394,500
6.1,6.100087394,500
6.108,6.108087394,500
6.116,6.116087394,500
6.124,6.124087394,500
6.132,6.132087394,500
6.14,6.140087394,500
6.148,6.148087394,500
6.156,6.156087394,500
6.164,6.164087394,500
6.172,6.172087394,500
6.18,6.180087394,500
6.188,6.188087394,500
6.196,6.196087394,500
6.204,6.204087394,500
6.212,6.212087394,500
6.22,6.220087394,500
6.228,6.228087394,500
6.236,6.236087394,500
6.244,6.244087394,500
6.252,6.252087394,500
6.26,6.260087394,500
6.268,6.268087394,500
6.276,6.276087394,500
6.284,6.284087394,500
6.292,6.292087394,500
6.3,6.300087394,500
6.308,6.308087394,500
6.316,6.316087394,500
6.324,6.324087394,500
6.332,6.332087394,500
6.34,6.340087394,500
6.348,6.348087394,500
6.356,6.356087394,500
6.364,6.364087394,500
6.372,6.372087394,500
6.38,6.380087394,500
6.388,6.388087394,500
6.396,6.396087394,500
6.404,6.404087394,500
6.412,6.412087394,500
6.42,6.420087394,500
6.428,6.428087394,500
6.436,6.436087394,500
6.444,6.444087394,500
6.452,6.452087394,500
6.46,6.460087394,500
6.468,6.468087394,500
6.476,6.476087394,500
6.484,6.484087394,500
6.492,6.492087394,500
6.5,6.500087394,500
6.508,6.508087394,500
6.516,6.516087394,500
6.524,6.524087394,500
6.532,6.532087394,500
6.54,6.540087394,500
6.548,6.548087394,500
6.556,6.556087394,500
